(base) root@d815dc72447d:~# python3 -m pip list
WARNING: The directory '/home/jovyan/.cache/pip' or its parent directory is not owned or is not writable by the current user. The cache has been disabled. Check the permissions and owner of that directory. If executing pip with sudo, you should use sudo's -H flag.
Package                       Version
----------------------------- -----------
aiohttp                       3.8.1
aiosignal                     1.2.0
alembic                       1.7.5
altair                        4.1.0
anyio                         3.3.4
appdirs                       1.4.4
argon2-cffi                   21.1.0
astor                         0.8.1
async-generator               1.10
async-timeout                 4.0.2
attrs                         21.2.0
Babel                         2.9.1
backcall                      0.2.0
backports.functools-lru-cache 1.6.4
base58                        2.1.1
beautifulsoup4                4.10.0
bleach                        4.1.0
blinker                       1.4
bokeh                         2.4.1
Bottleneck                    1.3.2
bqplot                        0.12.31
Brotli                        1.0.9
brotlipy                      0.7.0
cached-property               1.5.2
cachetools                    5.0.0
cdsdashboards                 0.6.0
certifi                       2021.10.8
certipy                       0.1.3
cffi                          1.15.0
chardet                       4.0.0
charset-normalizer            2.0.0
click                         7.1.2
cloudpickle                   2.0.0
colorama                      0.4.4
conda                         4.10.3
conda-package-handling        1.7.3
cryptography                  35.0.0
cycler                        0.11.0
Cython                        0.29.24
cytoolz                       0.11.2
dash                          2.0.0
dash-core-components          2.0.0
dash-html-components          2.0.0
dash-table                    5.0.0
dask                          2021.11.2
debugpy                       1.5.1
decorator                     5.1.0
defusedxml                    0.7.1
dill                          0.3.4
distributed                   2021.11.2
entrypoints                   0.3
Flask                         2.0.2
Flask-Compress                1.10.1
fonttools                     4.28.1
frozenlist                    1.2.0
fsspec                        2021.11.0
gitdb                         4.0.9
GitPython                     3.1.24
gmpy2                         2.1.0rc1
greenlet                      1.1.2
h5py                          3.4.0
HeapDict                      1.0.1
idna                          3.1
imagecodecs                   2021.8.26
imageio                       2.9.0
importlib-metadata            4.8.2
importlib-resources           5.4.0
ipykernel                     6.5.0
ipympl                        0.8.2
ipython                       7.29.0
ipython-genutils              0.2.0
ipywidgets                    7.6.5
itsdangerous                  2.0.1
jedi                          0.18.1
jhsingle-native-proxy         0.8.0
Jinja2                        3.0.3
joblib                        1.1.0
json5                         0.9.5
jsonschema                    4.2.1
jupyter-client                7.0.6
jupyter-containds             0.2.2
jupyter-core                  4.9.1
jupyter-server                1.11.2
jupyter-telemetry             0.1.0
jupyterhub                    1.5.0
jupyterlab                    3.2.4
jupyterlab-pygments           0.1.2
jupyterlab-server             2.8.2
jupyterlab-widgets            1.0.2
kiwisolver                    1.3.2
libmambapy                    0.18.1
llvmlite                      0.37.0
locket                        0.2.0
Mako                          1.1.6
mamba                         0.18.1
MarkupSafe                    2.0.1
matplotlib                    3.5.0
matplotlib-inline             0.1.3
mistune                       0.8.4
mock                          4.0.3
mpmath                        1.2.1
msgpack                       1.0.2
multidict                     5.2.0
munkres                       1.1.4
nbclassic                     0.3.4
nbclient                      0.5.9
nbconvert                     6.3.0
nbformat                      5.1.3
nest-asyncio                  1.5.1
networkx                      2.6.3
notebook                      6.4.6
numba                         0.54.1
numexpr                       2.7.3
numpy                         1.20.3
oauthlib                      3.1.1
olefile                       0.46
packaging                     21.3
pamela                        1.0.0
pandas                        1.3.4
pandocfilters                 1.5.0
parso                         0.8.2
partd                         1.2.0
patsy                         0.5.2
pexpect                       4.8.0
pickleshare                   0.7.5
Pillow                        8.4.0
pip                           21.3.1
plotly                        5.5.0
pluggy                        1.0.0
pooch                         1.5.2
prometheus-client             0.12.0
prompt-toolkit                3.0.22
protobuf                      3.19.1
psutil                        5.8.0
ptyprocess                    0.7.0
pyarrow                       6.0.1
pycosat                       0.6.3
pycparser                     2.21
pycurl                        7.44.1
pydeck                        0.7.1
Pygments                      2.10.0
PyJWT                         2.3.0
Pympler                       1.0.1
pyOpenSSL                     21.0.0
pyparsing                     3.0.6
pyrsistent                    0.18.0
PySocks                       1.7.1
python-dateutil               2.8.2
python-json-logger            2.0.1
pytz                          2021.3
pytz-deprecation-shim         0.1.0.post0
PyWavelets                    1.2.0
PyYAML                        6.0
pyzmq                         22.3.0
requests                      2.26.0
ruamel.yaml                   0.17.17
ruamel.yaml.clib              0.2.6
ruamel-yaml-conda             0.15.80
scikit-image                  0.18.3
scikit-learn                  1.0.1
scipy                         1.7.2
seaborn                       0.11.2
Send2Trash                    1.8.0
setuptools                    59.2.0
simpervisor                   0.4
six                           1.16.0
smmap                         5.0.0
sniffio                       1.2.0
sortedcontainers              2.4.0
soupsieve                     2.3
SQLAlchemy                    1.4.27
statsmodels                   0.13.1
streamlit                     1.3.1
sympy                         1.9
tables                        3.6.1
tblib                         1.7.0
tenacity                      8.0.1
terminado                     0.12.1
testpath                      0.5.0
threadpoolctl                 3.0.0
tifffile                      2021.11.2
toml                          0.10.2
toolz                         0.11.2
tornado                       6.1
tqdm                          4.62.3
traitlets                     5.1.1
traittypes                    0.2.1
typing_extensions             4.0.0
tzdata                        2021.5
tzlocal                       4.1
urllib3                       1.26.7
validators                    0.18.2
voila                         0.3.0
watchdog                      2.1.6
wcwidth                       0.2.5
webencodings                  0.5.1
websocket-client              1.2.1
websockets                    10.1
Werkzeug                      2.0.2
wheel                         0.37.0
widgetsnbextension            3.5.2
xlrd                          2.0.1
yarl                          1.7.2
zict                          2.0.0
zipp                          3.6.0
